SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Walgett - Lightning Ridge,18,9,121,74,79,242,0,57,16,127,753
Broken Hill,68,52,279,190,379,669,5,133,52,212,2045
Far West,0,3,40,17,46,89,0,20,3,73,300
Coonabarabran,17,17,144,62,135,235,0,26,23,84,747
Dubbo - East,51,44,292,147,260,349,0,50,36,126,1353
Dubbo - South,127,70,646,270,453,549,0,64,60,183,2421
Dubbo - West,37,27,245,138,268,299,0,46,35,120,1230
Dubbo Region,18,18,172,53,115,145,0,13,23,67,616
Gilgandra,6,8,98,37,103,112,3,26,16,40,454
Narromine,12,11,161,68,134,202,0,29,19,66,705
Wellington,14,13,117,66,172,235,3,44,27,176,862
Branxton - Greta - Pokolbin,40,28,234,165,337,416,0,41,53,115,1420
Cessnock,35,34,267,256,683,943,4,128,81,219,2656
Cessnock Region,32,22,128,107,190,258,0,17,36,129,919
Dungog,26,18,154,138,202,268,0,20,39,87,951
Kurri Kurri - Abermain,33,29,217,214,596,794,3,116,77,172,2240
Singleton,59,46,336,233,503,698,3,75,65,161,2184
Singleton Region,11,7,85,61,128,165,0,14,9,79,563
Maitland,39,13,167,133,230,272,0,26,35,95,1015
Maitland - East,147,83,763,482,778,990,6,90,95,215,3652
Maitland - North,43,29,292,126,184,190,0,10,37,55,964
Maitland - West,74,49,441,402,815,1005,0,115,115,208,3223
Thornton - Millers Forest,44,37,273,192,348,404,0,28,46,50,1412
Anna Bay,16,12,111,74,119,144,0,9,12,36,539
Lemon Tree Passage - Tanilba Bay,6,0,57,82,171,197,7,25,25,66,631
Nelson Bay Peninsula,82,40,381,287,413,484,0,37,69,143,1942
Raymond Terrace,27,17,193,180,399,578,0,102,53,154,1701
Seaham - Woodville,17,7,133,89,101,140,0,8,15,41,555
Tea Gardens - Hawks Nest,7,3,48,34,63,83,0,12,9,22,288
Williamtown - Medowie - Karuah,49,36,277,242,392,463,6,37,48,157,1717
Muswellbrook,29,25,190,149,364,589,8,85,40,128,1615
Muswellbrook Region,5,7,68,51,112,169,3,12,12,38,476
Scone,19,14,161,100,157,204,0,15,21,73,764
Scone Region,8,8,163,102,178,323,3,23,37,139,992
Dapto - Avondale,85,65,376,385,685,909,7,86,99,137,2841
Horsley - Kembla Grange,42,35,247,213,284,355,4,13,50,43,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,132,76,467,262,319,417,0,32,76,120,1889
Berkeley - Lake Heights - Cringila,45,30,215,230,330,573,0,89,68,149,1730
Port Kembla - Warrawong,40,16,146,159,231,357,5,59,52,100,1160
Windang - Primbee,14,8,66,55,69,123,0,13,16,41,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,53,49,320,276,508,538,3,41,72,95,1955
Albion Park Rail,16,9,96,110,223,264,0,33,33,72,860
Kiama,57,28,228,94,121,129,0,3,25,46,733
Kiama Downs - Minnamurra,48,30,201,89,110,97,0,10,18,35,643
Kiama Hinterland - Gerringong,53,49,243,108,101,108,0,4,24,71,776
Shellharbour - Flinders,115,67,507,337,420,572,0,30,85,131,2266
Shellharbour - Oak Flats,32,27,196,201,264,326,0,23,43,70,1195
Warilla,51,51,272,295,539,735,6,99,86,196,2335
Balgownie - Fairy Meadow,272,97,744,339,362,476,8,53,86,144,2575
Corrimal - Tarrawanna - Bellambi,114,71,485,273,370,437,4,56,57,114,1981
Figtree - Keiraville,306,111,838,321,350,465,0,38,83,119,2627
Helensburgh,103,48,341,173,165,229,0,6,45,67,1177
Thirroul - Austinmer - Coalcliff,189,64,511,184,128,209,0,5,40,75,1409
Woonona - Bulli - Russell Vale,215,102,755,361,374,502,0,31,93,146,2582
Wollongong - East,274,99,652,191,196,310,0,33,40,213,2016
Wollongong - West,285,90,699,306,308,416,5,52,79,131,2355
Bulahdelah - Stroud,3,8,63,49,77,145,0,12,14,49,426
Forster,28,21,198,154,268,352,5,61,42,109,1237
Forster-Tuncurry Region,17,8,79,67,124,133,4,18,25,50,523
Tuncurry,10,7,54,72,99,106,0,13,10,44,407
Kempsey,25,22,158,137,360,464,4,91,51,226,1537
Kempsey Region,25,8,119,88,194,245,4,29,26,90,820
Macksville - Scotts Head,10,4,68,38,105,136,5,15,23,40,444
Nambucca Heads,7,10,59,54,123,178,5,34,20,60,541
Nambucca Heads Region,9,10,120,88,173,201,0,22,23,55,700
South West Rocks,12,8,68,46,94,124,0,8,23,27,415
Lord Howe Island,4,0,9,12,9,10,0,0,0,10,56
Laurieton - Bonny Hills,36,27,251,174,254,384,0,31,51,98,1299
Port Macquarie - East,153,87,782,409,565,656,0,50,105,162,2971
Port Macquarie - West,55,35,315,266,380,473,6,49,55,139,1778
Port Macquarie Region,10,10,80,69,110,133,0,13,12,61,498
Wauchope,28,20,178,147,306,326,6,33,41,91,1171
Gloucester,4,4,69,37,96,140,0,17,18,42,425
Old Bar - Manning Point - Red Head,43,31,205,135,208,231,0,21,37,58,969
Taree,45,32,228,258,455,625,7,157,86,182,2077
Taree Region,20,18,154,120,214,279,3,40,34,95,976
Wingham,6,9,44,60,144,173,0,23,20,44,520
Albury - East,107,92,627,305,409,439,0,19,59,115,2168
Albury - North,43,42,254,152,229,296,0,45,54,137,1249
Albury - South,91,57,356,125,171,225,3,28,21,101,1178
Albury Region,41,26,253,153,236,293,0,32,41,107,1179
Lavington,51,32,267,194,407,503,3,90,76,165,1787
Hay,5,5,46,30,53,94,0,14,9,43,293
Wentworth - Buronga,11,20,104,73,127,161,0,28,14,100,631
Wentworth-Balranald Region,6,3,65,36,68,132,3,17,7,50,392
Corowa,9,12,79,59,101,157,0,12,17,34,478
Corowa Region,14,8,126,82,124,184,0,9,21,65,635
Deniliquin,25,15,155,100,166,194,0,31,22,89,803
Deniliquin Region,17,15,135,67,105,175,0,20,13,70,613
Moama,20,39,151,94,109,164,0,3,8,51,640
Tocumwal - Finley - Jerilderie,17,19,176,104,201,248,0,29,38,118,955
Armidale,322,114,799,260,384,544,4,66,56,219,2765
Armidale Region - North,22,15,103,45,91,135,0,12,20,47,484
Armidale Region - South,32,11,138,78,117,150,0,6,25,52,611
Walcha,5,7,60,30,54,81,0,9,14,39,307
Glen Innes,20,17,119,102,164,239,0,37,35,95,830
Inverell,21,18,227,112,274,423,5,57,44,131,1307
Inverell Region - East,14,8,60,52,118,157,0,18,19,66,510
Inverell Region - West,4,7,115,59,109,179,0,20,14,66,574
Tenterfield,8,12,93,48,107,192,5,30,21,78,596
Moree,20,19,200,100,164,336,0,55,44,168,1110
Moree Region,10,26,130,64,86,186,0,25,18,110,651
Narrabri,25,18,162,84,167,289,0,35,31,81,891
Narrabri Region,4,10,95,59,90,154,0,27,21,92,550
Gunnedah,31,25,211,129,225,356,0,42,34,101,1154
Gunnedah Region,3,4,65,44,99,114,3,20,9,59,421
Quirindi,22,9,120,79,154,282,0,29,29,85,812
Tamworth - East,68,49,461,319,522,700,6,76,81,220,2513
Tamworth - North,108,77,506,215,314,491,3,41,47,163,1969
Tamworth - West,8,9,71,68,154,276,4,42,28,103,763
Tamworth Region,54,46,388,229,440,537,4,52,67,183,2005
Belmont - Bennetts Green,67,47,453,260,372,528,0,42,75,112,1955
Belmont South - Blacksmiths,11,8,108,74,127,172,0,21,20,38,574
Charlestown - Dudley,203,91,1008,402,576,719,4,52,90,179,3322
Glendale - Cardiff - Hillsborough,158,80,812,371,589,851,8,59,81,126,3154
Mount Hutton - Windale,25,21,151,128,205,341,3,72,31,101,1079
Redhead,22,14,123,36,49,61,0,3,9,14,332
Swansea - Caves Beach,54,31,258,140,216,302,0,23,33,52,1102
Valentine - Eleebana,93,54,419,175,185,224,0,5,31,23,1207
Warners Bay - Boolaroo,80,51,427,211,258,332,3,27,60,79,1534
Bolton Point - Teralba,19,20,151,103,204,308,4,30,38,56,929
Bonnells Bay - Silverwater,34,14,179,146,208,261,0,23,40,43,954
Edgeworth - Cameron Park,78,36,456,291,475,644,0,46,77,100,2206
Morisset - Cooranbong,67,31,311,168,304,407,0,44,52,101,1486
Toronto - Awaba,57,24,297,166,276,393,3,54,49,70,1390
Wangi Wangi - Rathmines,34,19,197,152,205,242,4,19,38,37,946
West Wallsend - Barnsley - Killingworth,19,16,112,98,226,304,0,35,38,43,885
Adamstown - Kotara,180,65,759,300,301,403,0,21,48,64,2150
