SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Kiama Hinterland - Gerringong,239,401,40,42,61,776
Shellharbour - Flinders,603,1392,89,83,104,2266
Shellharbour - Oak Flats,381,654,69,37,55,1195
Warilla,794,1197,129,79,142,2335
Balgownie - Fairy Meadow,962,1301,123,64,125,2575
Corrimal - Tarrawanna - Bellambi,744,992,106,55,77,1981
Figtree - Keiraville,913,1428,110,75,99,2627
Helensburgh,335,696,45,58,40,1177
Thirroul - Austinmer - Coalcliff,463,767,59,45,68,1409
Woonona - Bulli - Russell Vale,760,1470,116,107,121,2582
Wollongong - East,1266,428,104,5,206,2016
Wollongong - West,1153,951,94,43,113,2355
Bulahdelah - Stroud,111,256,30,5,25,426
Forster,425,643,60,29,87,1237
Forster-Tuncurry Region,146,311,24,11,40,523
Tuncurry,160,197,10,7,25,407
Kempsey,448,767,74,50,196,1537
Kempsey Region,270,424,33,18,75,820
Macksville - Scotts Head,126,256,21,13,33,444
Nambucca Heads,188,280,27,19,39,541
Nambucca Heads Region,194,406,29,21,49,700
South West Rocks,131,229,15,16,26,415
Lord Howe Island,21,21,5,5,10,56
Laurieton - Bonny Hills,366,764,56,39,74,1299
Port Macquarie - East,914,1708,123,96,134,2971
Port Macquarie - West,594,944,66,60,118,1778
Port Macquarie Region,134,272,19,17,53,498
Wauchope,313,688,52,43,78,1171
Gloucester,118,228,20,18,31,425
Old Bar - Manning Point - Red Head,274,582,39,39,34,969
Taree,691,1106,86,58,132,2077
Taree Region,274,558,50,8,78,976
Wingham,146,299,24,20,31,520
Albury - East,713,1165,102,77,107,2168
Albury - North,420,603,66,34,121,1249
Albury - South,489,517,59,21,94,1178
Albury Region,291,707,44,43,91,1179
Lavington,611,878,112,57,133,1787
Hay,86,154,9,4,36,293
Wentworth - Buronga,171,350,27,15,66,631
Wentworth-Balranald Region,108,211,22,8,43,392
Corowa,141,273,15,16,25,478
Corowa Region,169,355,25,27,57,635
Deniliquin,274,403,39,18,57,803
Deniliquin Region,174,336,23,16,56,613
Moama,186,370,35,14,40,640
Tocumwal - Finley - Jerilderie,265,509,38,33,111,955
Armidale,1118,1277,102,62,212,2765
Armidale Region - North,145,280,19,0,36,484
Armidale Region - South,187,348,19,12,38,611
Walcha,76,179,11,13,33,307
Glen Innes,252,427,28,40,83,830
Inverell,433,683,64,43,84,1307
Inverell Region - East,122,288,27,16,61,510
Inverell Region - West,151,323,31,14,57,574
Tenterfield,194,308,23,12,60,596
Moree,393,489,60,27,141,1110
Moree Region,189,335,29,13,86,651
Narrabri,284,447,45,29,88,891
Narrabri Region,143,306,13,15,72,550
Gunnedah,353,626,48,48,77,1154
Gunnedah Region,122,236,19,11,32,421
Quirindi,226,465,30,22,69,812
Tamworth - East,831,1302,141,70,169,2513
Tamworth - North,754,929,93,67,136,1969
Tamworth - West,245,383,31,22,80,763
Tamworth Region,538,1163,90,64,149,2005
Belmont - Bennetts Green,594,1141,88,59,68,1955
Belmont South - Blacksmiths,179,308,26,26,28,574
Charlestown - Dudley,1211,1680,168,116,145,3322
Glendale - Cardiff - Hillsborough,1037,1744,147,110,107,3154
Mount Hutton - Windale,342,574,58,31,72,1079
Redhead,82,219,6,14,10,332
Swansea - Caves Beach,343,627,45,38,44,1102
Valentine - Eleebana,320,764,50,52,25,1207
Warners Bay - Boolaroo,508,843,71,50,58,1534
Bolton Point - Teralba,319,498,44,30,42,929
Bonnells Bay - Silverwater,281,562,44,36,34,954
Edgeworth - Cameron Park,642,1316,103,69,76,2206
Morisset - Cooranbong,478,823,75,45,70,1486
Toronto - Awaba,466,743,85,47,46,1390
Wangi Wangi - Rathmines,268,572,44,29,29,946
West Wallsend - Barnsley - Killingworth,262,500,43,41,39,885
Adamstown - Kotara,774,1164,95,67,47,2150
Beresfield - Hexham,398,489,51,38,56,1035
Hamilton - Broadmeadow,722,634,88,57,92,1590
Lambton - New Lambton,816,1191,89,55,93,2246
Maryland - Fletcher - Minmi,591,1271,82,67,76,2085
Mayfield - Warabrook,1131,933,138,47,108,2356
Merewether - The Junction,852,774,91,46,71,1834
Newcastle - Cooks Hill,1151,377,91,19,129,1765
Newcastle Port - Kooragang,0,0,0,0,0,5
Shortland - Jesmond,692,548,63,32,67,1406
Stockton - Fullerton Cove,261,379,30,20,52,740
Wallsend - Elermore Vale,1004,1250,121,64,104,2537
Waratah - North Lambton,748,734,85,51,67,1686
Wickham - Carrington - Tighes Hill,785,478,92,37,69,1460
Ballina,629,799,73,32,124,1654
Ballina Region,495,978,52,60,113,1700
Bangalow,261,313,27,25,80,702
Brunswick Heads - Ocean Shores,353,506,49,46,97,1047
Byron Bay,734,457,70,19,230,1510
Evans Head,141,285,18,15,54,501
Lennox Head - Skennars Head,294,533,25,43,43,948
Mullumbimby,264,443,47,27,115,892
Casino,411,665,73,42,98,1288
Casino Region,179,348,23,18,55,628
Goonellabah,538,818,60,59,114,1594
Kyogle,190,334,38,32,52,640
Lismore,704,835,93,69,163,1862
Lismore Region,447,862,81,69,152,1614
Kingscliff - Fingal Head,454,867,59,47,99,1528
Murwillumbah,257,555,39,36,57,941
Murwillumbah Region,293,498,46,26,89,945
Pottsville,414,953,61,54,90,1574
Tweed Heads,739,991,88,40,184,2038
Banora Point,484,904,53,46,72,1553
Terranora - North Tumblegum,95,215,12,17,17,359
Tweed Heads South,270,357,33,18,55,732
Griffith (NSW),948,1206,111,66,241,2565
Griffith Region,429,799,73,37,159,1492
Leeton,351,570,55,25,89,1087
Narrandera,158,353,24,24,71,625
Tumbarumba,95,178,11,5,26,319
Tumut,182,404,33,19,56,691
Tumut Region,129,284,17,13,39,485
Cootamundra,241,385,32,30,56,743
Gundagai,106,225,7,3,33,380
Junee,196,299,24,19,61,592
Temora,177,379,26,22,37,648
Wagga Wagga - East,688,1161,105,61,95,2114
Wagga Wagga - North,227,299,28,16,27,602
Wagga Wagga - South,983,1557,129,82,125,2874
Wagga Wagga - West,787,636,77,30,121,1651
Wagga Wagga Region,433,981,77,51,137,1672
Berry - Kangaroo Valley,201,396,42,41,55,735
Callala Bay - Currarong,99,160,9,8,16,297
Culburra Beach,146,205,21,14,39,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,3
Huskisson - Vincentia,170,222,13,12,23,438
North Nowra - Bomaderry,539,927,88,59,89,1698
Nowra,771,1225,136,90,197,2411
St Georges Basin - Erowal Bay,365,782,61,51,69,1322
Sussex Inlet - Berrara,85,159,10,5,25,280
Tomerong - Wandandian - Woollamia,98,196,6,5,22,333
Ulladulla,415,771,50,39,82,1349
Ulladulla Region,106,231,10,12,40,391
Bowral,309,586,33,30,48,1013
Hill Top - Colo Vale,217,449,23,28,40,758
Mittagong,282,512,32,25,64,918
Moss Vale - Berrima,324,608,61,39,80,1113
Robertson - Fitzroy Falls,117,170,16,11,30,346
Southern Highlands,161,319,20,17,27,550
Baulkham Hills (East),1224,2030,101,55,110,3517
Baulkham Hills (West) - Bella Vista,912,1432,77,42,74,2539
Glenhaven,167,333,15,19,25,560
West Pennant Hills,525,743,56,26,41,1391
Castle Hill - Central,404,643,34,17,48,1153
Castle Hill - East,127,292,15,12,11,449
Castle Hill - North,450,782,30,24,52,1332
Castle Hill - South,480,722,35,20,54,1306
Castle Hill - West,253,379,18,6,25,680
Cherrybrook,721,1185,48,34,52,2050
Kellyville,1069,2038,103,62,113,3388
Dural - Kenthurst - Wisemans Ferry,721,1225,73,59,108,2186
Galston - Laughtondale,168,297,22,22,18,524
Bilpin - Colo - St Albans,91,135,22,4,31,282
Kurrajong Heights - Ebenezer,753,1488,88,91,155,2562
Pitt Town - McGraths Hill,431,799,38,52,54,1373
Rouse Hill - Beaumont Hills,1000,2136,84,75,139,3430
Blacktown (East) - Kings Park,1423,1470,94,48,191,3216
Blacktown (North) - Marayong,1091,1382,122,34,122,2749
Doonside - Woodcroft,1405,1708,123,52,167,3449
Lalor Park - Kings Langley,1355,1803,133,81,174,3544
Seven Hills - Toongabbie,1375,1843,112,54,191,3571
Blacktown (South),681,958,64,28,105,1837
Blacktown (West),910,1230,85,38,123,2389
Glenwood,819,1433,73,44,65,2432
Parklea - Kellyville Ridge,1860,3583,152,124,263,5976
Riverstone - Marsden Park,1019,1556,109,51,180,2914
Acacia Gardens,232,357,27,9,14,643
Quakers Hill,1315,2201,120,74,149,3856
Bidwill - Hebersham - Emerton,943,1118,127,48,261,2497
Glendenning - Dean Park,474,747,44,27,59,1340
Hassall Grove - Plumpton,1065,1567,140,57,159,2996
Lethbridge Park - Tregear,1139,1552,119,61,295,3165
Mount Druitt - Whalan,1302,1719,125,61,234,3445
Prospect Reservoir,0,0,0,0,7,6
Rooty Hill - Minchinbury,1200,1490,123,53,170,3038
Banksmeadow,5,0,0,0,0,7
Botany,670,871,59,26,137,1772
Mascot - Eastlakes,2536,1510,104,30,302,4481
Pagewood - Hillsdale - Daceyville,734,725,48,24,141,1672
Port Botany Industrial,0,0,0,0,0,0
Sydney Airport,6,3,0,0,12,18
Marrickville,3115,1419,225,60,461,5283
Petersham - Stanmore,2792,996,174,41,432,4439
Sydenham - Tempe - St Peters,908,473,55,22,111,1560
Darlinghurst,1884,210,74,8,410,2583
Erskineville - Alexandria,2980,813,143,41,353,4321
Glebe - Forest Lodge,2876,709,121,31,424,4165
Newtown - Camperdown - Darlington,3866,855,204,61,512,5489
Potts Point - Woolloomooloo,3308,327,119,14,755,4526
Pyrmont - Ultimo,3541,769,112,15,536,4972
Redfern - Chippendale,3649,538,120,26,605,4934
Surry Hills,2995,360,108,3,479,3947
Sydney - Haymarket - The Rocks,5550,647,89,0,1087,7380
Waterloo - Beaconsfield,5071,1351,214,26,765,7419
Bondi - Tamarama - Bronte,2454,1005,142,38,486,4127
Bondi Beach - North Bondi,3090,1143,166,50,655,5109
Bondi Junction - Waverly,1883,905,84,32,415,3315
