SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Woolgoolga - Arrawarra,988,36,4,0,23,59,172,14,11,0,107,1414
Bourke - Brewarrina,407,6,0,0,0,0,9,0,3,0,79,506
Cobar,504,14,5,0,19,7,10,4,10,0,70,635
Coonamble,366,9,0,0,0,0,8,0,0,0,77,458
Nyngan - Warren,448,10,0,0,7,5,6,3,4,0,58,539
Walgett - Lightning Ridge,589,7,3,0,20,4,13,4,5,0,104,753
Broken Hill,1759,16,6,5,40,7,22,10,10,0,175,2045
Far West,243,8,0,0,0,0,0,0,0,0,50,300
Coonabarabran,612,17,0,0,15,0,7,5,0,0,91,747
Dubbo - East,1105,15,0,9,30,24,57,5,9,0,98,1353
Dubbo - South,1924,23,3,15,48,45,162,15,15,0,169,2421
Dubbo - West,1000,17,3,3,22,14,39,6,22,0,109,1230
Dubbo Region,539,5,0,0,3,0,0,0,0,0,64,616
Gilgandra,385,9,0,0,8,3,3,0,7,0,44,454
Narromine,607,15,0,0,5,5,6,0,0,0,60,705
Wellington,714,7,0,0,9,0,9,5,0,0,120,862
Branxton - Greta - Pokolbin,1243,23,3,0,18,0,4,10,6,0,102,1420
Cessnock,2326,23,3,3,43,9,20,13,4,0,209,2656
Cessnock Region,763,20,4,0,10,3,0,6,0,0,110,919
Dungog,833,18,4,0,4,0,0,3,0,0,81,951
Kurri Kurri - Abermain,2018,16,4,0,37,5,14,10,0,0,135,2240
Singleton,1843,44,10,3,52,25,18,24,28,0,143,2184
Singleton Region,461,12,0,0,4,0,0,3,3,0,75,563
Maitland,857,13,9,0,18,5,24,5,15,0,68,1015
Maitland - East,3150,65,11,21,76,34,68,19,35,0,171,3652
Maitland - North,860,25,5,0,8,3,0,8,8,0,47,964
Maitland - West,2822,60,6,8,47,12,54,23,31,0,164,3223
Thornton - Millers Forest,1273,26,8,3,22,8,15,9,14,0,31,1412
Anna Bay,455,21,3,0,10,3,0,8,8,0,32,539
Lemon Tree Passage - Tanilba Bay,552,16,0,0,5,6,0,0,4,0,52,631
Nelson Bay Peninsula,1560,78,10,5,46,34,15,40,24,3,129,1942
Raymond Terrace,1459,17,8,4,43,10,9,6,7,0,139,1701
Seaham - Woodville,496,11,0,0,0,0,0,3,0,0,34,555
Tea Gardens - Hawks Nest,226,4,4,0,10,6,4,0,4,0,19,288
Williamtown - Medowie - Karuah,1435,46,8,0,37,9,4,20,14,0,148,1717
Muswellbrook,1370,15,8,0,45,16,36,5,13,0,106,1615
Muswellbrook Region,404,22,0,0,4,0,0,0,0,0,37,476
Scone,599,28,3,0,30,21,8,6,5,0,62,764
Scone Region,791,30,0,0,16,3,3,6,7,0,135,992
Dapto - Avondale,2458,70,34,7,89,23,22,23,13,0,111,2841
Horsley - Kembla Grange,1106,27,24,15,19,21,20,13,3,0,41,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,1531,55,53,23,34,27,29,40,14,0,91,1889
Berkeley - Lake Heights - Cringila,1294,17,101,83,57,20,7,16,17,3,122,1730
Port Kembla - Warrawong,888,12,47,21,52,4,9,17,12,0,92,1160
Windang - Primbee,336,6,6,12,12,0,0,7,3,0,21,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,1746,58,10,4,28,12,7,17,3,0,76,1955
Albion Park Rail,751,16,8,5,14,7,9,5,5,0,56,860
Kiama,589,47,8,6,13,16,0,10,12,0,29,733
Kiama Downs - Minnamurra,550,32,0,4,5,0,0,12,8,0,32,643
Kiama Hinterland - Gerringong,626,37,0,0,11,5,3,9,0,0,80,776
Shellharbour - Flinders,1887,62,47,22,48,26,28,18,26,0,101,2266
Shellharbour - Oak Flats,998,32,24,9,26,6,12,11,0,0,67,1195
Warilla,1944,49,22,16,63,14,17,35,14,0,164,2335
Balgownie - Fairy Meadow,1902,70,38,67,111,127,57,38,28,0,133,2575
Corrimal - Tarrawanna - Bellambi,1623,72,35,12,60,21,25,32,9,0,83,1981
Figtree - Keiraville,1919,82,71,75,79,138,81,46,37,0,98,2627
Helensburgh,952,71,16,0,23,17,4,29,12,0,51,1177
Thirroul - Austinmer - Coalcliff,1130,93,9,5,28,16,0,37,17,0,64,1409
Woonona - Bulli - Russell Vale,2141,129,25,14,42,24,14,46,28,0,123,2582
Wollongong - East,1212,64,52,98,104,161,66,43,21,0,198,2016
Wollongong - West,1433,54,75,119,152,202,139,32,34,0,102,2355
Bulahdelah - Stroud,366,11,0,0,7,4,0,3,4,0,36,426
Forster,1048,24,0,0,26,7,8,8,6,0,105,1237
Forster-Tuncurry Region,445,17,4,0,7,4,0,3,0,0,37,523
Tuncurry,338,4,4,0,15,4,4,0,3,0,29,407
Kempsey,1293,8,0,0,35,10,13,3,8,0,160,1537
Kempsey Region,674,26,3,0,20,0,0,5,0,0,85,820
Macksville - Scotts Head,378,8,4,0,5,0,0,5,0,0,42,444
Nambucca Heads,451,10,0,0,12,3,3,4,0,0,55,541
Nambucca Heads Region,604,15,0,0,12,0,3,5,5,0,59,700
South West Rocks,351,8,0,0,10,8,0,4,0,0,41,415
Lord Howe Island,39,0,0,0,0,0,0,4,0,0,10,56
Laurieton - Bonny Hills,1134,25,4,0,15,8,7,17,5,0,81,1299
Port Macquarie - East,2522,114,16,11,45,29,28,42,30,0,129,2971
Port Macquarie - West,1430,53,10,5,59,34,38,12,10,0,125,1778
Port Macquarie Region,407,13,0,0,9,0,3,7,0,0,53,498
Wauchope,1026,15,5,0,11,4,9,7,0,0,96,1171
Gloucester,365,12,0,0,8,0,4,0,4,0,31,425
Old Bar - Manning Point - Red Head,853,19,8,0,12,6,9,9,0,0,43,969
Taree,1791,19,5,11,36,23,40,11,8,0,135,2077
Taree Region,833,23,7,0,15,0,0,3,0,0,94,976
