SA2,Never married,Widowed,Divorced,Separated,Married,Total
Kiama Hinterland - Gerringong,227,7,54,28,461,776
Shellharbour - Flinders,541,9,144,72,1508,2266
Shellharbour - Oak Flats,438,4,83,67,601,1195
Warilla,1032,10,154,127,1008,2335
Balgownie - Fairy Meadow,925,16,147,101,1395,2575
Corrimal - Tarrawanna - Bellambi,855,3,122,84,918,1981
Figtree - Keiraville,775,13,110,90,1636,2627
Helensburgh,348,3,55,25,750,1177
Thirroul - Austinmer - Coalcliff,485,4,70,42,804,1409
Woonona - Bulli - Russell Vale,825,8,139,80,1535,2582
Wollongong - East,1206,6,77,56,665,2016
Wollongong - West,962,12,119,76,1186,2355
Bulahdelah - Stroud,159,0,24,24,227,426
Forster,535,6,83,102,514,1237
Forster-Tuncurry Region,221,8,30,24,238,523
Tuncurry,184,3,26,18,176,407
Kempsey,737,9,84,90,615,1537
Kempsey Region,350,5,53,45,364,820
Macksville - Scotts Head,178,7,29,30,200,444
Nambucca Heads,296,8,31,26,173,541
Nambucca Heads Region,295,6,25,46,332,700
South West Rocks,174,0,36,24,186,415
Lord Howe Island,27,0,3,0,26,56
Laurieton - Bonny Hills,464,6,94,63,673,1299
Port Macquarie - East,1052,15,220,157,1524,2971
Port Macquarie - West,690,15,130,110,839,1778
Port Macquarie Region,172,0,25,25,274,498
Wauchope,444,0,96,66,563,1171
Gloucester,172,4,20,24,207,425
Old Bar - Manning Point - Red Head,321,4,66,43,534,969
Taree,952,16,140,114,855,2077
Taree Region,374,4,62,57,483,976
Wingham,231,5,34,27,217,520
Albury - East,739,0,108,80,1234,2168
Albury - North,528,3,84,60,570,1249
Albury - South,538,3,67,42,530,1178
Albury Region,339,5,52,31,749,1179
Lavington,744,12,100,120,809,1787
Hay,112,0,8,10,163,293
Wentworth - Buronga,248,5,31,20,337,631
Wentworth-Balranald Region,143,0,15,9,222,392
Corowa,174,3,35,26,238,478
Corowa Region,211,11,27,27,361,635
Deniliquin,343,0,67,38,353,803
Deniliquin Region,218,10,34,26,324,613
Moama,223,0,30,30,361,640
Tocumwal - Finley - Jerilderie,345,3,56,44,503,955
Armidale,1181,4,140,125,1319,2765
Armidale Region - North,164,4,26,19,273,484
Armidale Region - South,216,11,29,22,331,611
Walcha,97,0,10,10,191,307
Glen Innes,335,11,55,39,391,830
Inverell,574,4,98,66,564,1307
Inverell Region - East,203,7,32,21,247,510
Inverell Region - West,207,0,29,23,307,574
Tenterfield,242,9,32,35,275,596
Moree,547,9,46,55,451,1110
Moree Region,276,3,13,10,348,651
Narrabri,368,3,27,30,463,891
Narrabri Region,193,0,15,15,322,550
Gunnedah,459,7,48,49,587,1154
Gunnedah Region,145,4,21,24,227,421
Quirindi,314,5,34,43,415,812
Tamworth - East,1024,15,148,137,1183,2513
Tamworth - North,834,8,105,91,923,1969
Tamworth - West,388,6,30,45,287,763
Tamworth Region,604,13,97,90,1194,2005
Belmont - Bennetts Green,642,7,124,75,1106,1955
Belmont South - Blacksmiths,256,0,55,24,236,574
Charlestown - Dudley,1317,19,168,128,1702,3322
Glendale - Cardiff - Hillsborough,1143,3,190,152,1664,3154
Mount Hutton - Windale,507,6,66,58,444,1079
Redhead,96,0,13,5,219,332
Swansea - Caves Beach,414,4,62,43,575,1102
Valentine - Eleebana,284,6,66,50,800,1207
Warners Bay - Boolaroo,529,5,114,72,814,1534
Bolton Point - Teralba,401,3,72,58,397,929
Bonnells Bay - Silverwater,331,3,59,66,494,954
Edgeworth - Cameron Park,641,7,135,89,1336,2206
Morisset - Cooranbong,512,9,102,56,816,1486
Toronto - Awaba,571,16,91,62,655,1390
Wangi Wangi - Rathmines,322,0,66,38,521,946
West Wallsend - Barnsley - Killingworth,337,8,51,44,450,885
Adamstown - Kotara,753,14,115,61,1206,2150
Beresfield - Hexham,502,10,65,52,403,1035
Hamilton - Broadmeadow,786,4,88,60,653,1590
Lambton - New Lambton,837,9,141,68,1197,2246
Maryland - Fletcher - Minmi,557,5,126,66,1324,2085
Mayfield - Warabrook,1250,6,104,100,899,2356
Merewether - The Junction,827,7,97,39,864,1834
Newcastle - Cooks Hill,1105,0,102,50,509,1765
Newcastle Port - Kooragang,0,0,0,0,0,5
Shortland - Jesmond,663,13,70,66,598,1406
Stockton - Fullerton Cove,310,0,34,23,373,740
Wallsend - Elermore Vale,1032,16,162,94,1236,2537
Waratah - North Lambton,779,4,80,70,756,1686
Wickham - Carrington - Tighes Hill,857,9,76,48,470,1460
Ballina,778,4,125,86,667,1654
Ballina Region,631,0,99,59,905,1700
Bangalow,325,3,37,24,311,702
Brunswick Heads - Ocean Shores,526,3,83,38,393,1047
Byron Bay,977,7,69,43,419,1510
Evans Head,210,3,36,28,223,501
Lennox Head - Skennars Head,370,5,67,25,477,948
Mullumbimby,477,0,64,35,319,892
Casino,553,7,92,78,559,1288
Casino Region,226,4,41,26,335,628
Goonellabah,692,4,96,92,714,1594
Kyogle,280,4,35,30,290,640
Lismore,998,4,112,100,641,1862
Lismore Region,682,4,90,67,763,1614
Kingscliff - Fingal Head,571,3,60,59,825,1528
Murwillumbah,377,3,66,52,439,941
Murwillumbah Region,414,0,66,41,419,945
Pottsville,560,7,101,73,835,1574
Tweed Heads,948,7,135,88,858,2038
Banora Point,562,8,124,69,797,1553
Terranora - North Tumblegum,96,0,17,9,233,359
Tweed Heads South,335,9,51,45,289,732
Griffith (NSW),953,20,115,93,1390,2565
Griffith Region,483,11,66,60,868,1492
Leeton,424,17,38,42,572,1087
Narrandera,258,0,32,23,314,625
Tumbarumba,114,0,21,9,176,319
Tumut,275,6,33,32,343,691
Tumut Region,174,7,26,20,254,485
Cootamundra,302,6,39,25,379,743
Gundagai,145,0,23,14,202,380
Junee,242,4,33,16,299,592
Temora,198,8,34,29,379,648
Wagga Wagga - East,730,5,129,113,1134,2114
Wagga Wagga - North,211,0,20,17,350,602
Wagga Wagga - South,1064,10,146,113,1532,2874
Wagga Wagga - West,867,0,85,75,627,1651
Wagga Wagga Region,527,8,72,82,989,1672
Berry - Kangaroo Valley,253,3,42,26,409,735
Callala Bay - Currarong,133,3,18,18,126,297
Culburra Beach,187,0,32,14,192,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,3
Huskisson - Vincentia,163,0,27,24,222,438
North Nowra - Bomaderry,610,7,107,85,885,1698
Nowra,1024,24,192,145,1032,2411
St Georges Basin - Erowal Bay,535,8,98,83,595,1322
Sussex Inlet - Berrara,117,4,16,14,120,280
Tomerong - Wandandian - Woollamia,113,0,13,13,195,333
Ulladulla,512,6,88,77,672,1349
Ulladulla Region,158,0,28,21,182,391
Bowral,281,3,66,33,627,1013
Hill Top - Colo Vale,252,3,33,31,441,758
Mittagong,310,0,69,33,502,918
Moss Vale - Berrima,371,3,82,58,599,1113
Robertson - Fitzroy Falls,106,4,14,24,202,346
Southern Highlands,161,0,41,23,326,550
Baulkham Hills (East),754,0,135,101,2524,3517
Baulkham Hills (West) - Bella Vista,673,12,81,51,1729,2539
Glenhaven,143,3,18,11,388,560
West Pennant Hills,396,4,27,24,939,1391
Castle Hill - Central,279,0,47,31,788,1153
Castle Hill - East,79,4,8,8,347,449
Castle Hill - North,317,6,46,30,935,1332
Castle Hill - South,318,4,60,29,892,1306
Castle Hill - West,168,3,24,11,470,680
Cherrybrook,489,3,59,34,1465,2050
Kellyville,644,8,147,92,2493,3388
Dural - Kenthurst - Wisemans Ferry,651,3,81,54,1397,2186
Galston - Laughtondale,156,4,27,8,326,524
Bilpin - Colo - St Albans,104,0,27,3,151,282
Kurrajong Heights - Ebenezer,708,12,135,83,1637,2562
Pitt Town - McGraths Hill,372,3,55,43,896,1373
Rouse Hill - Beaumont Hills,595,5,150,84,2597,3430
Blacktown (East) - Kings Park,700,12,138,117,2257,3216
Blacktown (North) - Marayong,856,5,133,98,1646,2749
Doonside - Woodcroft,1053,16,133,116,2135,3449
Lalor Park - Kings Langley,1128,14,155,129,2120,3544
Seven Hills - Toongabbie,910,12,151,111,2393,3571
Blacktown (South),479,3,76,83,1190,1837
Blacktown (West),608,3,97,86,1588,2389
Glenwood,485,4,94,58,1790,2432
Parklea - Kellyville Ridge,969,22,229,130,4624,5976
Riverstone - Marsden Park,737,9,112,101,1960,2914
Acacia Gardens,132,0,23,15,470,643
Quakers Hill,890,19,194,142,2616,3856
Bidwill - Hebersham - Emerton,1248,21,129,145,953,2497
Glendenning - Dean Park,340,9,54,41,888,1340
Hassall Grove - Plumpton,869,24,139,128,1836,2996
Lethbridge Park - Tregear,1268,14,166,173,1544,3165
Mount Druitt - Whalan,1024,25,170,170,2056,3445
Prospect Reservoir,6,0,0,0,0,6
Rooty Hill - Minchinbury,913,14,152,111,1846,3038
Banksmeadow,5,0,0,0,0,7
Botany,621,7,93,48,999,1772
Mascot - Eastlakes,1826,8,202,92,2353,4481
Pagewood - Hillsdale - Daceyville,637,10,81,64,883,1672
Port Botany Industrial,0,0,0,0,0,0
Sydney Airport,8,0,0,0,14,18
Marrickville,3048,22,237,126,1847,5283
Petersham - Stanmore,2802,13,176,73,1372,4439
Sydenham - Tempe - St Peters,846,10,81,27,594,1560
Darlinghurst,1779,3,98,35,657,2583
Erskineville - Alexandria,2781,6,150,68,1322,4321
Glebe - Forest Lodge,2644,10,179,73,1256,4165
Newtown - Camperdown - Darlington,3838,14,215,72,1356,5489
Potts Point - Woolloomooloo,3339,18,180,72,918,4526
Pyrmont - Ultimo,2964,17,205,85,1701,4972
Redfern - Chippendale,3476,10,172,71,1204,4934
Surry Hills,2772,4,160,56,960,3947
Sydney - Haymarket - The Rocks,4347,12,315,130,2583,7380
Waterloo - Beaconsfield,4386,11,302,123,2603,7419
Bondi - Tamarama - Bronte,2575,6,134,66,1340,4127
Bondi Beach - North Bondi,3301,10,158,62,1569,5109
Bondi Junction - Waverly,1814,5,132,61,1301,3315
Centennial Park,0,0,0,0,0,0
Double Bay - Bellevue Hill,2515,7,198,68,1626,4413
Dover Heights,646,11,76,34,950,1715
Paddington - Moore Park,2184,4,157,41,1073,3458
Rose Bay - Vaucluse - Watsons Bay,519,4,68,30,787,1418
Woollahra,724,5,66,26,523,1335
Coogee - Clovelly,3103,11,204,78,1884,5284
Malabar - La Perouse - Chifley,1164,7,143,80,1482,2877
Kensington (NSW),1286,3,78,36,912,2312
Kingsford,1161,0,71,32,998,2269
Maroubra - North,693,5,69,17,698,1477
Maroubra - South,871,7,78,42,733,1738
Maroubra - West,712,3,57,28,843,1640
Randwick - North,2070,4,130,71,1356,3634
Randwick - South,1596,0,97,43,968,2703
Bass Hill - Georges Hall,680,15,206,173,1713,2788
Chullora,55,0,4,9,116,183
Condell Park,412,3,119,101,1013,1665
Greenacre - Mount Lewis,827,14,225,202,2171,3444
Padstow,674,7,134,77,1244,2143
Panania - Milperra - Picnic Point,996,14,191,101,2181,3480
Revesby,704,13,136,90,1345,2295
Yagoona - Birrong,700,14,222,200,1718,2859
Bankstown - North,624,11,251,156,1690,2733
Bankstown - South,582,13,277,131,1456,2461
Belmore - Belfield,814,11,192,105,1596,2722
Canterbury (South) - Campsie,1501,23,326,179,3269,5293
Kingsgrove (North) - Earlwood,1031,8,158,96,1818,3114
Punchbowl,695,8,206,142,1865,2910
Roselands,477,4,93,90,1231,1896
Lakemba,364,14,113,90,2067,2643
Wiley Park,305,10,100,75,1258,1750
Hurstville,1440,17,208,100,2425,4184
Mortdale - Penshurst,1213,14,175,105,2383,3887
Narwee - Beverly Hills,667,8,90,57,1153,1976
Oatley - Hurstville Grove,499,0,77,38,996,1610
Peakhurst - Lugarno,564,7,90,84,1360,2113
Riverwood,587,0,115,73,851,1623
South Hurstville - Blakehurst,1155,8,169,70,2111,3516
Arncliffe - Bardwell Valley,2072,7,195,93,2264,4624
Bexley,1128,19,212,147,2648,4146
Kingsgrove (South) - Bardwell Park,538,0,86,45,1013,1679
Kogarah,655,5,88,37,1415,2204
Kogarah Bay - Carlton - Allawah,763,3,132,78,1585,2562
Monterey - Brighton-le-Sands - Kyeemagh,823,8,170,84,1113,2200
Rockdale - Banksia,1188,14,187,82,2277,3745
Sans Souci - Ramsgate,716,9,162,76,1179,2135
Concord - Mortlake - Cabarita,941,7,133,64,1831,2966
Concord West - North Strathfield,2043,16,189,84,3095,5432
Drummoyne - Rodd Point,1250,5,137,61,1515,2962
Five Dock - Abbotsford,1262,9,184,76,1771,3302
Balmain,1220,7,131,55,1262,2674
Leichhardt - Annandale,2374,10,234,90,2302,5011
Lilyfield - Rozelle,1225,7,125,65,1252,2672
Ashfield,1979,8,198,92,2378,4661
Burwood - Croydon,1911,11,199,100,2073,4294
Canterbury (North) - Ashbury,643,8,70,44,886,1654
Croydon Park - Enfield,893,12,125,70,1449,2546
Dulwich Hill - Lewisham,1776,3,152,80,1225,3237
Haberfield - Summer Hill,1017,4,108,44,1010,2179
Homebush,1053,0,126,71,2238,3488
Strathfield,1614,14,177,78,2195,4079
Strathfield South,181,0,17,9,306,523
Chatswood (East) - Artarmon,2057,7,222,101,3221,5601
Chatswood (West) - Lane Cove North,1521,5,163,64,2302,4061
Lane Cove - Greenwich,1396,14,163,82,2326,3976
St Leonards - Naremburn,1118,6,119,52,1218,2511
Willoughby - Castle Cove - Northbridge,822,4,94,76,2132,3128
Asquith - Mount Colah,585,3,104,55,1640,2386
Berowra - Brooklyn - Cowan,356,4,65,27,958,1400
Normanhurst - Thornleigh - Westleigh,446,3,86,48,1587,2169
Hornsby - East,675,5,106,59,1665,2505
Hornsby - West,379,3,60,23,1052,1516
Waitara - Wahroonga (West),400,4,67,38,1269,1775
Gordon - Killara,673,3,114,44,1728,2561
Lindfield - Roseville,782,7,101,46,1900,2825
Pymble,397,4,51,31,1367,1853
St Ives,471,4,65,42,1740,2329
Turramurra,450,7,65,40,1383,1938
Wahroonga (East) - Warrawee,462,4,61,29,1248,1803
Cremorne - Cammeray,1835,14,181,61,1695,3786
Crows Nest - Waverton,2220,7,181,61,1778,4249
Mosman,1713,11,188,72,2102,4089
Neutral Bay - Kirribilli,2268,12,215,75,1475,4048
North Sydney - Lavender Bay,1227,11,97,44,912,2295
Balgowlah - Clontarf - Seaforth,778,6,97,63,1634,2576
Manly - Fairlight,2532,7,194,58,1632,4425
Avalon - Palm Beach,353,0,62,21,685,1121
Bayview - Elanora Heights,278,4,48,29,654,1005
Newport - Bilgola,463,8,75,38,850,1432
Warriewood - Mona Vale,883,8,131,89,1931,3038
Beacon Hill - Narraweena,484,4,68,40,1062,1659
Cromer,249,0,40,16,571,878
Dee Why - North Curl Curl,1804,16,240,107,2462,4632
Forestville - Killarney Heights,312,0,54,29,1035,1428
Frenchs Forest - Belrose,619,7,103,57,1935,2723
Freshwater - Brookvale,1734,6,168,82,1859,3863
Manly Vale - Allambie Heights,749,0,108,57,1475,2399
Narrabeen - Collaroy,1317,3,168,82,1944,3515
Terrey Hills - Duffys Forest,95,0,6,10,237,351
Camden - Ellis Lane,424,10,95,50,988,1565
Elderslie - Harrington Park,758,14,174,120,2081,3150
Mount Annan - Currans Hill,1213,34,287,219,3037,4783
Bradbury - Wedderburn,1198,11,172,150,1260,2793
Campbelltown - Woodbine,976,12,158,155,1399,2694
Claymore - Eagle Vale - Raby,1233,8,190,151,1364,2946
Holsworthy Military Area,0,0,0,0,0,0
Ingleburn - Denham Court,818,11,157,129,1848,2965
Leumeah - Minto Heights,864,15,129,122,1219,2356
