SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Singleton,77,238,529,181,192,147,13,810,2184
Singleton Region,35,0,32,141,85,55,4,207,563
Maitland,26,59,207,148,205,36,0,335,1015
Maitland - East,134,209,735,1015,262,82,13,1201,3652
Maitland - North,63,34,266,163,168,35,9,229,964
Maitland - West,103,190,652,527,516,90,22,1129,3223
Thornton - Millers Forest,53,36,214,666,62,26,3,349,1412
Anna Bay,36,28,120,91,47,46,4,163,539
Lemon Tree Passage - Tanilba Bay,23,53,34,58,161,23,3,277,631
Nelson Bay Peninsula,114,228,522,103,137,205,21,613,1942
Raymond Terrace,33,106,175,484,103,32,5,766,1701
Seaham - Woodville,45,5,19,196,115,16,3,160,555
Tea Gardens - Hawks Nest,13,44,35,12,8,48,5,120,288
Williamtown - Medowie - Karuah,88,62,109,366,453,51,9,573,1717
Muswellbrook,58,259,394,155,49,49,4,658,1615
Muswellbrook Region,24,47,35,140,43,42,0,147,476
Scone,43,206,129,101,36,19,0,225,764
Scone Region,59,106,58,222,93,96,8,361,992
Dapto - Avondale,88,159,319,1141,26,193,6,903,2841
Horsley - Kembla Grange,36,37,131,698,4,95,0,281,1287
Port Kembla Industrial,0,0,0,0,0,0,0,0,0
Unanderra - Mount Kembla,74,89,738,252,23,192,5,527,1889
Berkeley - Lake Heights - Cringila,45,55,501,234,6,123,0,763,1730
Port Kembla - Warrawong,20,115,190,188,11,65,0,575,1160
Windang - Primbee,9,18,84,129,5,27,0,137,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,82,93,293,796,38,115,3,531,1955
Albion Park Rail,41,30,166,258,15,48,5,297,860
Kiama,38,103,43,152,151,49,3,193,733
Kiama Downs - Minnamurra,37,9,93,203,90,34,3,159,643
Kiama Hinterland - Gerringong,58,60,41,179,181,42,4,206,776
