SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Ferntree Gully (South) - Upper Ferntree Gully,7,157,79,125,126,134,202,243,227,230,160,140,47,48,13,104,2038
The Basin,0,37,31,32,33,42,65,54,71,80,46,28,14,15,5,37,589
Donvale - Park Orchards,4,182,73,96,78,86,114,128,165,167,163,127,75,99,63,97,1704
Warrandyte - Wonga Park,9,83,42,39,39,55,76,88,79,95,63,73,31,58,40,62,928
Bayswater North,0,140,78,113,91,97,162,174,196,204,145,96,35,45,10,116,1718
Croydon Hills - Warranwood,3,162,93,132,124,142,174,193,229,257,183,152,78,91,27,90,2129
Ringwood,10,297,122,242,167,166,215,268,278,337,230,153,85,95,34,137,2842
Ringwood East,15,251,120,198,145,186,216,237,321,347,271,225,117,111,33,130,2918
Ringwood North,5,89,57,64,77,63,92,109,125,136,105,71,48,43,26,54,1159
Croydon - East,9,168,95,171,127,165,216,267,289,313,231,153,58,65,13,169,2511
Croydon - West,7,167,73,119,93,127,163,158,194,219,153,104,63,71,17,96,1812
Croydon South,4,64,25,44,46,50,62,83,74,79,52,44,18,26,3,39,723
Forest Hill,6,176,80,100,95,95,102,122,153,177,118,90,54,57,19,70,1503
Mitcham (Vic.),6,297,109,122,113,131,161,209,257,324,253,213,116,168,37,126,2626
Nunawading,3,206,66,124,87,83,141,143,177,214,147,141,66,96,26,108,1836
Vermont,6,168,55,100,86,59,112,113,146,153,135,108,64,60,21,59,1439
Vermont South,5,172,51,88,74,66,107,96,133,135,81,68,52,52,27,46,1248
Belgrave - Selby,3,91,67,92,78,82,124,119,131,133,93,81,52,48,17,77,1290
Chirnside Park,0,109,67,88,70,79,121,135,148,145,86,65,26,31,9,54,1235
Healesville - Yarra Glen,3,102,70,143,103,144,168,170,194,137,110,69,34,40,21,123,1646
Kilsyth,7,86,48,103,78,97,129,150,143,161,97,55,17,28,10,88,1289
Lilydale - Coldstream,6,183,110,173,168,185,258,257,336,294,179,101,48,45,10,149,2507
Monbulk - Silvan,0,45,27,61,60,38,59,67,60,68,43,34,13,20,4,43,648
Montrose,0,56,34,50,48,52,80,89,92,115,69,49,22,21,6,49,842
Mooroolbark,15,255,142,234,193,204,280,351,374,398,236,169,67,70,21,139,3140
Mount Dandenong - Olinda,3,98,52,86,69,63,109,110,119,103,84,54,36,44,30,79,1144
Mount Evelyn,3,113,61,97,80,100,139,116,155,138,79,61,30,31,10,80,1284
Upwey - Tecoma,5,99,62,80,77,88,117,135,152,128,110,62,47,44,16,66,1289
Wandin - Seville,0,69,46,63,77,86,104,103,127,93,60,32,23,14,10,58,968
Yarra Valley,4,144,82,193,173,178,224,234,176,141,94,48,24,23,12,155,1892
Beaconsfield - Officer,4,166,76,149,96,124,182,206,259,278,179,94,60,48,18,100,2042
Bunyip - Garfield,0,77,42,73,62,67,111,104,104,81,63,36,18,15,0,77,927
Emerald - Cockatoo,8,166,89,155,146,167,219,244,219,230,142,119,37,65,28,149,2177
Koo Wee Rup,5,62,45,82,65,71,121,126,104,86,44,27,8,17,3,82,942
Pakenham - North,14,250,121,267,242,254,373,402,410,342,173,99,40,36,7,211,3240
Pakenham - South,15,487,171,373,324,354,534,504,575,466,269,171,76,63,13,269,4671
Berwick - North,6,266,104,182,155,153,255,253,310,308,229,139,95,103,39,125,2715
Berwick - South,20,495,190,276,239,270,387,376,454,473,305,203,128,139,38,177,4157
Doveton,19,258,64,191,122,108,164,171,150,114,56,23,10,11,6,134,1592
Hallam,12,207,60,138,137,119,142,141,149,158,81,48,14,12,3,88,1500
Narre Warren North,4,71,24,64,62,40,52,81,75,86,56,45,25,30,16,43,756
Endeavour Hills - North,11,199,70,123,95,95,138,165,162,189,109,67,34,21,10,99,1579
Endeavour Hills - South,7,226,69,137,103,115,150,191,202,163,131,76,38,31,10,113,1758
Narre Warren - North East,3,195,73,141,134,127,186,210,214,203,101,75,28,26,9,85,1805
Narre Warren - South West,10,243,97,184,144,142,229,237,257,202,130,70,27,21,8,124,2125
Cranbourne,14,322,101,234,215,226,348,334,325,263,151,52,37,29,8,228,2894
Cranbourne East,23,566,189,286,259,318,458,651,691,615,376,222,118,74,17,274,5130
Cranbourne North,22,407,137,255,231,227,341,389,419,335,205,145,56,57,11,225,3463
Cranbourne South,3,93,53,76,76,71,121,125,124,142,90,67,31,36,8,84,1184
Cranbourne West,12,339,125,227,170,176,306,360,367,361,149,99,35,38,7,182,2952
Hampton Park - Lynbrook,43,592,157,341,263,243,394,425,392,278,165,72,23,22,10,285,3713
Lynbrook - Lyndhurst,11,365,111,170,129,146,259,322,322,303,211,141,80,73,18,167,2815
Pearcedale - Tooradin,0,65,41,86,60,78,132,122,90,93,59,35,9,16,8,66,967
Narre Warren South (East),6,199,88,134,101,121,173,184,192,171,108,87,54,40,10,87,1764
Narre Warren South (West),28,352,108,188,189,188,237,296,296,225,151,78,54,21,13,156,2576
Clarinda - Oakleigh South,15,137,51,98,89,85,126,165,160,153,112,74,50,45,13,73,1447
Clayton South,17,334,84,116,123,136,178,219,254,219,125,77,45,39,14,150,2123
Dandenong,46,912,176,551,371,336,392,411,392,299,148,71,33,37,18,495,4677
Dandenong North,24,395,104,274,239,203,241,346,334,265,181,90,51,32,15,202,2998
Dingley Village,0,98,36,65,62,73,88,101,154,128,124,62,39,47,15,57,1147
Keysborough,22,499,140,242,220,231,342,466,449,442,314,215,108,107,26,189,4015
