SA2,Fully engaged,Partially engaged,At least partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Total
Kiama Hinterland - Gerringong,289,262,43,112,59,776
Shellharbour - Flinders,862,796,122,400,91,2266
Shellharbour - Oak Flats,461,377,51,242,54,1195
Warilla,729,725,105,634,137,2335
Balgownie - Fairy Meadow,1097,772,128,461,115,2575
Corrimal - Tarrawanna - Bellambi,806,591,88,417,79,1981
Figtree - Keiraville,1155,796,109,477,93,2627
Helensburgh,456,455,61,162,46,1177
Thirroul - Austinmer - Coalcliff,601,454,82,204,60,1409
Woonona - Bulli - Russell Vale,969,910,146,435,125,2582
Wollongong - East,1132,328,62,302,193,2016
Wollongong - West,1184,541,84,443,109,2355
Bulahdelah - Stroud,137,125,18,120,33,426
Forster,407,409,59,287,73,1237
Forster-Tuncurry Region,130,190,19,146,33,523
Tuncurry,128,126,16,110,26,407
Kempsey,401,408,62,481,181,1537
Kempsey Region,240,256,30,228,74,820
Macksville - Scotts Head,155,117,20,124,32,444
Nambucca Heads,157,139,19,193,43,541
Nambucca Heads Region,200,216,35,211,43,700
South West Rocks,132,125,24,108,25,415
Lord Howe Island,24,12,9,6,10,56
Laurieton - Bonny Hills,460,423,63,291,63,1299
Port Macquarie - East,1223,964,110,545,124,2971
Port Macquarie - West,716,543,60,350,108,1778
Port Macquarie Region,172,134,26,106,52,498
Wauchope,427,351,47,262,76,1171
Gloucester,100,141,10,134,34,425
Old Bar - Manning Point - Red Head,341,331,39,220,31,969
Taree,644,598,69,641,121,2077
Taree Region,294,306,29,268,81,976
Wingham,147,170,21,158,27,520
Albury - East,942,730,100,304,95,2168
Albury - North,470,354,51,265,111,1249
Albury - South,505,337,48,201,97,1178
Albury Region,380,425,53,235,84,1179
Lavington,583,532,87,458,132,1787
Hay,88,87,11,64,38,293
Wentworth - Buronga,202,180,33,156,65,631
Wentworth-Balranald Region,131,108,19,85,39,392
Corowa,161,164,26,95,22,478
Corowa Region,216,216,43,109,48,635
Deniliquin,296,256,26,156,58,803
Deniliquin Region,204,196,29,122,57,613
Moama,272,204,46,90,41,640
Tocumwal - Finley - Jerilderie,315,305,51,194,96,955
Armidale,1334,651,90,505,194,2765
Armidale Region - North,179,147,12,108,34,484
Armidale Region - South,223,225,22,98,40,611
Walcha,95,91,9,74,38,307
Glen Innes,272,233,34,213,80,830
Inverell,448,380,60,338,83,1307
Inverell Region - East,124,155,18,158,53,510
Inverell Region - West,187,169,24,141,53,574
Tenterfield,173,161,24,168,57,596
Moree,442,220,53,268,127,1110
Moree Region,203,171,39,160,81,651
Narrabri,359,248,45,174,69,891
Narrabri Region,156,150,28,139,72,550
Gunnedah,461,314,54,245,75,1154
Gunnedah Region,145,119,21,102,32,421
Quirindi,246,219,39,237,73,812
Tamworth - East,1017,711,111,515,159,2513
Tamworth - North,891,520,84,344,126,1969
Tamworth - West,235,192,23,233,77,763
Tamworth Region,838,568,86,379,139,2005
Belmont - Bennetts Green,705,710,96,381,62,1955
Belmont South - Blacksmiths,204,193,31,116,23,574
Charlestown - Dudley,1372,1112,174,525,135,3322
Glendale - Cardiff - Hillsborough,1348,1037,136,541,97,3154
Mount Hutton - Windale,346,294,47,317,66,1079
Redhead,114,133,12,62,9,332
Swansea - Caves Beach,398,353,68,240,36,1102
Valentine - Eleebana,480,471,55,191,13,1207
Warners Bay - Boolaroo,629,514,65,264,59,1534
Bolton Point - Teralba,317,279,39,257,40,929
Bonnells Bay - Silverwater,363,318,45,198,26,954
Edgeworth - Cameron Park,912,723,131,387,60,2206
Morisset - Cooranbong,546,462,56,356,70,1486
Toronto - Awaba,489,446,68,341,42,1390
Wangi Wangi - Rathmines,371,324,38,179,26,946
West Wallsend - Barnsley - Killingworth,321,303,44,183,37,885
Adamstown - Kotara,952,741,108,305,39,2150
Beresfield - Hexham,359,263,45,313,47,1035
Hamilton - Broadmeadow,737,439,74,251,83,1590
Lambton - New Lambton,997,734,117,304,92,2246
Maryland - Fletcher - Minmi,869,701,110,338,64,2085
Mayfield - Warabrook,1124,627,112,396,109,2356
Merewether - The Junction,933,568,82,192,57,1834
Newcastle - Cooks Hill,1057,339,56,190,122,1765
Newcastle Port - Kooragang,0,0,0,0,0,5
Shortland - Jesmond,662,315,48,322,59,1406
Stockton - Fullerton Cove,299,201,43,144,50,740
Wallsend - Elermore Vale,1103,732,103,514,97,2537
Waratah - North Lambton,822,433,102,272,65,1686
Wickham - Carrington - Tighes Hill,805,363,53,168,65,1460
Ballina,607,514,71,346,115,1654
Ballina Region,622,572,72,323,105,1700
Bangalow,229,254,29,112,78,702
Brunswick Heads - Ocean Shores,304,356,52,243,92,1047
Byron Bay,546,463,64,207,225,1510
Evans Head,181,153,23,98,49,501
Lennox Head - Skennars Head,385,343,42,139,35,948
Mullumbimby,240,305,34,207,110,892
Casino,418,341,74,361,88,1288
Casino Region,185,164,33,186,55,628
Goonellabah,682,440,68,295,102,1594
Kyogle,203,168,27,193,52,640
Lismore,697,550,50,414,153,1862
Lismore Region,517,531,66,343,157,1614
Kingscliff - Fingal Head,569,544,66,246,98,1528
Murwillumbah,305,301,50,229,55,941
Murwillumbah Region,270,312,43,230,88,945
Pottsville,525,571,55,324,96,1574
Tweed Heads,723,588,93,474,164,2038
Banora Point,601,541,58,302,61,1553
Terranora - North Tumblegum,129,125,21,66,17,359
Tweed Heads South,234,234,35,178,51,732
Griffith (NSW),1008,697,92,537,227,2565
Griffith Region,489,475,81,303,146,1492
Leeton,405,293,50,256,82,1087
Narrandera,201,195,25,137,64,625
Tumbarumba,98,96,13,89,24,319
Tumut,220,216,31,167,59,691
Tumut Region,164,156,25,99,38,485
Cootamundra,270,213,35,179,47,743
Gundagai,112,141,15,78,29,380
Junee,241,164,26,114,54,592
Temora,195,227,33,150,33,648
Wagga Wagga - East,954,624,91,354,88,2114
Wagga Wagga - North,311,163,31,66,29,602
Wagga Wagga - South,1290,788,128,533,132,2874
Wagga Wagga - West,796,352,68,319,116,1651
Wagga Wagga Region,666,488,92,298,124,1672
Berry - Kangaroo Valley,247,257,40,124,53,735
Callala Bay - Currarong,112,82,11,73,16,297
Culburra Beach,128,133,20,107,38,424
Ettrema - Sassafras - Budawang,5,0,0,0,0,3
Huskisson - Vincentia,159,139,27,89,24,438
North Nowra - Bomaderry,650,515,72,374,89,1698
Nowra,810,648,104,651,195,2411
St Georges Basin - Erowal Bay,429,396,53,392,61,1322
Sussex Inlet - Berrara,76,99,8,76,20,280
Tomerong - Wandandian - Woollamia,111,118,11,59,22,333
Ulladulla,442,472,61,303,77,1349
Ulladulla Region,114,132,24,80,42,391
Bowral,388,313,46,216,45,1013
Hill Top - Colo Vale,285,237,27,166,39,758
Mittagong,343,325,37,148,59,918
Moss Vale - Berrima,427,356,51,201,78,1113
Robertson - Fitzroy Falls,131,112,11,61,24,346
Southern Highlands,220,172,26,103,24,550
Baulkham Hills (East),1643,910,158,708,97,3517
Baulkham Hills (West) - Bella Vista,1297,645,104,427,64,2539
Glenhaven,235,180,21,94,23,560
West Pennant Hills,721,326,57,252,30,1391
Castle Hill - Central,555,297,37,216,44,1153
Castle Hill - East,207,127,21,87,7,449
Castle Hill - North,616,356,42,291,37,1332
Castle Hill - South,609,332,50,266,49,1306
Castle Hill - West,321,175,41,125,13,680
Cherrybrook,999,507,98,408,44,2050
Kellyville,1603,922,148,626,85,3388
Dural - Kenthurst - Wisemans Ferry,942,644,98,403,100,2186
Galston - Laughtondale,229,146,26,104,15,524
Bilpin - Colo - St Albans,89,85,9,61,35,282
Kurrajong Heights - Ebenezer,1085,811,136,383,149,2562
Pitt Town - McGraths Hill,616,464,49,193,52,1373
Rouse Hill - Beaumont Hills,1574,1016,146,579,121,3430
Blacktown (East) - Kings Park,1418,648,125,870,163,3216
Blacktown (North) - Marayong,1235,559,100,754,93,2749
Doonside - Woodcroft,1622,631,142,908,147,3449
Lalor Park - Kings Langley,1679,815,167,726,157,3544
Seven Hills - Toongabbie,1636,773,148,840,175,3571
Blacktown (South),802,362,80,495,102,1837
Blacktown (West),1053,486,104,635,117,2389
Glenwood,1211,589,111,476,52,2432
Parklea - Kellyville Ridge,2874,1506,286,1091,226,5976
Riverstone - Marsden Park,1382,641,142,581,170,2914
Acacia Gardens,335,153,21,110,18,643
Quakers Hill,1817,945,153,807,133,3856
Bidwill - Hebersham - Emerton,707,430,79,1034,245,2497
Glendenning - Dean Park,567,290,54,378,52,1340
Hassall Grove - Plumpton,1362,583,127,777,141,2996
Lethbridge Park - Tregear,1120,551,108,1099,277,3165
Mount Druitt - Whalan,1236,601,112,1295,202,3445
Prospect Reservoir,0,0,0,0,7,6
Rooty Hill - Minchinbury,1419,604,153,734,138,3038
Banksmeadow,3,0,0,0,0,7
Botany,902,433,80,217,140,1772
Mascot - Eastlakes,2486,824,174,713,278,4481
Pagewood - Hillsdale - Daceyville,789,348,63,324,145,1672
Port Botany Industrial,0,0,0,0,0,0
Sydney Airport,0,3,7,0,12,18
Marrickville,3084,981,211,573,429,5283
Petersham - Stanmore,2760,755,160,342,415,4439
Sydenham - Tempe - St Peters,922,296,77,168,104,1560
Darlinghurst,1689,267,69,153,406,2583
Erskineville - Alexandria,2973,557,186,281,325,4321
Glebe - Forest Lodge,2627,544,153,439,403,4165
Newtown - Camperdown - Darlington,3808,680,197,333,475,5489
Potts Point - Woolloomooloo,2978,408,131,278,726,4526
Pyrmont - Ultimo,3135,604,161,568,498,4972
Redfern - Chippendale,3231,585,129,410,576,4934
Surry Hills,2696,397,109,283,456,3947
Sydney - Haymarket - The Rocks,4461,948,165,796,1006,7380
Waterloo - Beaconsfield,4740,856,258,845,718,7419
Bondi - Tamarama - Bronte,2465,634,179,373,472,4127
Bondi Beach - North Bondi,2942,890,192,452,630,5109
Bondi Junction - Waverly,1870,590,143,329,395,3315
Centennial Park,0,0,0,0,0,0
Double Bay - Bellevue Hill,2625,643,197,493,460,4413
Dover Heights,834,447,79,256,106,1715
Paddington - Moore Park,2211,471,142,267,363,3458
Rose Bay - Vaucluse - Watsons Bay,643,351,59,252,108,1418
Woollahra,811,223,52,147,108,1335
Coogee - Clovelly,3219,891,237,479,450,5284
Malabar - La Perouse - Chifley,1346,687,139,462,235,2877
Kensington (NSW),1462,334,81,230,196,2312
Kingsford,1380,399,57,313,124,2269
Maroubra - North,834,331,55,181,77,1477
Maroubra - South,889,369,77,265,137,1738
Maroubra - West,881,317,74,260,102,1640
Randwick - North,2318,619,152,342,208,3634
Randwick - South,1676,414,107,259,243,2703
