SA2,Not a volunteer,Volunteer,Not stated,Total
Old Bar - Manning Point - Red Head,661,267,39,969
Taree,1511,432,132,2077
Taree Region,627,264,81,976
Wingham,389,105,32,520
Albury - East,1489,571,105,2168
Albury - North,839,290,112,1249
Albury - South,779,310,90,1178
Albury Region,654,436,92,1179
Lavington,1310,339,139,1787
Hay,149,108,42,293
Wentworth - Buronga,381,181,69,631
Wentworth-Balranald Region,201,145,46,392
Corowa,309,142,30,478
Corowa Region,355,223,54,635
Deniliquin,484,248,64,803
Deniliquin Region,310,243,56,613
Moama,424,174,42,640
Tocumwal - Finley - Jerilderie,515,329,111,955
Armidale,1831,729,211,2765
Armidale Region - North,292,155,37,484
Armidale Region - South,377,184,47,611
Walcha,145,124,36,307
Glen Innes,493,257,85,830
Inverell,921,288,99,1307
Inverell Region - East,292,159,59,510
Inverell Region - West,305,210,58,574
Tenterfield,351,190,56,596
Moree,687,282,143,1110
Moree Region,344,220,91,651
Narrabri,544,260,84,891
Narrabri Region,296,184,70,550
Gunnedah,765,317,75,1154
Gunnedah Region,224,166,33,421
Quirindi,490,253,73,812
Tamworth - East,1781,568,160,2513
Tamworth - North,1368,459,132,1969
Tamworth - West,565,117,84,763
Tamworth Region,1220,629,153,2005
Belmont - Bennetts Green,1452,425,72,1955
Belmont South - Blacksmiths,426,124,32,574
Charlestown - Dudley,2508,670,149,3322
Glendale - Cardiff - Hillsborough,2382,666,106,3154
Mount Hutton - Windale,820,184,78,1079
Redhead,235,95,10,332
Swansea - Caves Beach,822,239,41,1102
Valentine - Eleebana,863,317,24,1207
Warners Bay - Boolaroo,1142,335,60,1534
Bolton Point - Teralba,698,190,49,929
Bonnells Bay - Silverwater,702,210,39,954
Edgeworth - Cameron Park,1757,375,76,2206
Morisset - Cooranbong,1049,363,77,1486
Toronto - Awaba,1070,271,50,1390
Wangi Wangi - Rathmines,676,231,36,946
West Wallsend - Barnsley - Killingworth,689,157,41,885
Adamstown - Kotara,1618,480,46,2150
Beresfield - Hexham,827,158,55,1035
Hamilton - Broadmeadow,1150,353,88,1590
Lambton - New Lambton,1646,513,95,2246
Maryland - Fletcher - Minmi,1617,387,75,2085
Mayfield - Warabrook,1771,473,118,2356
Merewether - The Junction,1321,445,69,1834
Newcastle - Cooks Hill,1230,407,132,1765
Newcastle Port - Kooragang,0,0,0,5
Shortland - Jesmond,1065,265,73,1406
Stockton - Fullerton Cove,522,168,56,740
Wallsend - Elermore Vale,1945,493,102,2537
Waratah - North Lambton,1261,355,68,1686
Wickham - Carrington - Tighes Hill,1054,332,70,1460
Ballina,1207,325,130,1654
Ballina Region,1132,450,116,1700
Bangalow,420,197,79,702
Brunswick Heads - Ocean Shores,655,294,92,1047
Byron Bay,964,321,232,1510
Evans Head,322,126,52,501
Lennox Head - Skennars Head,664,239,41,948
Mullumbimby,531,246,110,892
Casino,915,267,102,1288
Casino Region,396,172,63,628
Goonellabah,1098,381,109,1594
Kyogle,377,209,54,640
Lismore,1249,446,160,1862
Lismore Region,937,519,159,1614
Kingscliff - Fingal Head,1086,336,100,1528
Murwillumbah,637,253,53,941
Murwillumbah Region,591,261,90,945
Pottsville,1073,403,93,1574
Tweed Heads,1495,367,178,2038
Banora Point,1191,293,75,1553
Terranora - North Tumblegum,246,93,23,359
Tweed Heads South,562,109,58,732
Griffith (NSW),1873,461,238,2565
Griffith Region,900,428,160,1492
Leeton,708,296,88,1087
Narrandera,374,184,70,625
Tumbarumba,183,107,32,319
Tumut,442,191,54,691
Tumut Region,272,169,41,485
Cootamundra,457,226,55,743
Gundagai,227,124,31,380
Junee,375,157,66,592
Temora,360,245,39,648
Wagga Wagga - East,1506,513,96,2114
Wagga Wagga - North,437,137,25,602
Wagga Wagga - South,2108,636,129,2874
Wagga Wagga - West,1194,330,125,1651
Wagga Wagga Region,1011,523,135,1672
Berry - Kangaroo Valley,441,237,57,735
Callala Bay - Currarong,205,73,19,297
Culburra Beach,290,96,38,424
Ettrema - Sassafras - Budawang,3,0,0,3
Huskisson - Vincentia,296,119,23,438
North Nowra - Bomaderry,1227,379,97,1698
Nowra,1763,451,203,2411
St Georges Basin - Erowal Bay,1000,255,65,1322
Sussex Inlet - Berrara,200,56,24,280
Tomerong - Wandandian - Woollamia,212,91,22,333
Ulladulla,961,302,81,1349
Ulladulla Region,273,80,41,391
Bowral,683,272,54,1013
Hill Top - Colo Vale,565,155,37,758
Mittagong,640,216,65,918
Moss Vale - Berrima,792,233,79,1113
Robertson - Fitzroy Falls,210,100,26,346
Southern Highlands,361,161,28,550
Baulkham Hills (East),2622,790,109,3517
Baulkham Hills (West) - Bella Vista,1809,650,77,2539
Glenhaven,379,155,26,560
West Pennant Hills,972,373,45,1391
Castle Hill - Central,852,250,42,1153
Castle Hill - East,322,118,9,449
Castle Hill - North,943,349,44,1332
Castle Hill - South,966,292,45,1306
Castle Hill - West,499,155,21,680
Cherrybrook,1436,556,56,2050
Kellyville,2488,784,109,3388
Dural - Kenthurst - Wisemans Ferry,1501,571,118,2186
Galston - Laughtondale,327,174,23,524
Bilpin - Colo - St Albans,162,88,36,282
Kurrajong Heights - Ebenezer,1774,626,164,2562
Pitt Town - McGraths Hill,1060,261,51,1373
Rouse Hill - Beaumont Hills,2537,767,130,3430
Blacktown (East) - Kings Park,2536,485,191,3216
Blacktown (North) - Marayong,2242,374,119,2749
Doonside - Woodcroft,2758,532,164,3449
Lalor Park - Kings Langley,2643,727,175,3544
Seven Hills - Toongabbie,2776,607,188,3571
Blacktown (South),1481,244,112,1837
Blacktown (West),1952,317,113,2389
Glenwood,1826,545,61,2432
Parklea - Kellyville Ridge,4638,1096,247,5976
Riverstone - Marsden Park,2233,499,189,2914
Acacia Gardens,498,126,18,643
Quakers Hill,2968,736,157,3856
Bidwill - Hebersham - Emerton,1890,332,273,2497
Glendenning - Dean Park,1105,172,61,1340
Hassall Grove - Plumpton,2387,426,181,2996
Lethbridge Park - Tregear,2478,383,302,3165
Mount Druitt - Whalan,2777,428,238,3445
Prospect Reservoir,0,0,7,6
Rooty Hill - Minchinbury,2474,393,168,3038
Banksmeadow,7,0,0,7
Botany,1354,276,143,1772
Mascot - Eastlakes,3582,595,307,4481
Pagewood - Hillsdale - Daceyville,1302,227,147,1672
Port Botany Industrial,0,0,0,0
Sydney Airport,4,0,12,18
Marrickville,3717,1097,465,5283
Petersham - Stanmore,3047,958,431,4439
Sydenham - Tempe - St Peters,1143,304,112,1560
Darlinghurst,1726,451,406,2583
Erskineville - Alexandria,3124,862,334,4321
Glebe - Forest Lodge,2873,869,416,4165
Newtown - Camperdown - Darlington,3675,1313,509,5489
Potts Point - Woolloomooloo,2916,856,753,4526
Pyrmont - Ultimo,3770,673,524,4972
Redfern - Chippendale,3413,916,606,4934
Surry Hills,2737,734,471,3947
Sydney - Haymarket - The Rocks,5610,673,1092,7380
Waterloo - Beaconsfield,5468,1191,757,7419
Bondi - Tamarama - Bronte,2863,773,493,4127
Bondi Beach - North Bondi,3484,968,652,5109
Bondi Junction - Waverly,2306,594,419,3315
Centennial Park,0,0,0,0
Double Bay - Bellevue Hill,3026,896,487,4413
