SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Maitland - North,25,156,14,543,4,223,964
Maitland - West,47,271,36,1780,11,1081,3223
Thornton - Millers Forest,47,158,13,855,10,334,1412
Anna Bay,12,34,6,337,0,147,539
Lemon Tree Passage - Tanilba Bay,25,28,0,311,4,261,631
Nelson Bay Peninsula,71,141,18,1121,10,586,1942
Raymond Terrace,59,116,7,796,6,722,1701
Seaham - Woodville,14,63,10,321,7,141,555
Tea Gardens - Hawks Nest,3,18,5,150,0,114,288
Williamtown - Medowie - Karuah,150,127,22,874,11,536,1717
Muswellbrook,11,138,26,790,6,650,1615
Muswellbrook Region,8,33,0,283,0,143,476
Scone,3,53,15,464,6,220,764
Scone Region,12,76,18,538,8,346,992
Dapto - Avondale,101,290,18,1557,16,854,2841
Horsley - Kembla Grange,57,191,9,766,8,267,1287
Port Kembla Industrial,0,0,0,0,0,0,0
Unanderra - Mount Kembla,93,276,17,1003,11,497,1889
Berkeley - Lake Heights - Cringila,41,104,10,815,15,740,1730
Port Kembla - Warrawong,40,91,6,472,4,550,1160
Windang - Primbee,18,54,6,204,0,133,414
Illawarra Catchment Reserve,0,0,0,0,0,0,0
Albion Park - Macquarie Pass,79,240,29,1083,16,504,1955
Albion Park Rail,20,72,6,476,4,280,860
Kiama,24,119,23,390,4,178,733
Kiama Downs - Minnamurra,27,116,12,328,3,144,643
Kiama Hinterland - Gerringong,24,107,11,440,6,191,776
Shellharbour - Flinders,78,362,35,1225,10,555,2266
Shellharbour - Oak Flats,51,141,19,643,5,332,1195
Warilla,59,181,12,1178,13,889,2335
Balgownie - Fairy Meadow,162,335,26,1285,14,742,2575
Corrimal - Tarrawanna - Bellambi,80,273,22,1005,7,585,1981
Figtree - Keiraville,181,397,28,1274,13,734,2627
Helensburgh,45,195,18,678,10,242,1177
Thirroul - Austinmer - Coalcliff,83,216,16,754,7,321,1409
Woonona - Bulli - Russell Vale,135,409,37,1333,11,657,2582
Wollongong - East,122,295,12,872,5,702,2016
Wollongong - West,128,302,22,1066,12,822,2355
Bulahdelah - Stroud,3,25,6,229,0,161,426
Forster,11,100,16,672,5,419,1237
Forster-Tuncurry Region,0,41,3,259,9,212,523
Tuncurry,3,22,9,211,0,159,407
Kempsey,15,98,10,650,13,744,1537
Kempsey Region,10,84,8,392,8,322,820
Macksville - Scotts Head,3,31,3,225,0,172,444
Nambucca Heads,3,24,4,248,0,261,541
Nambucca Heads Region,16,65,0,338,4,279,700
South West Rocks,4,36,0,217,0,151,415
Lord Howe Island,0,3,0,33,0,15,56
Laurieton - Bonny Hills,21,126,22,700,8,424,1299
Port Macquarie - East,82,293,95,1666,18,819,2971
Port Macquarie - West,44,115,39,1023,14,548,1778
Port Macquarie Region,17,26,4,259,4,190,498
Wauchope,19,84,17,633,10,412,1171
Gloucester,5,34,5,191,0,191,425
Old Bar - Manning Point - Red Head,11,120,13,518,5,291,969
Taree,11,148,19,1000,11,883,2077
Taree Region,11,91,7,474,7,392,976
Wingham,3,38,3,257,6,217,520
Albury - East,105,323,30,1226,10,478,2168
Albury - North,43,132,11,626,3,425,1249
Albury - South,72,136,17,610,0,344,1178
Albury Region,29,125,18,650,4,350,1179
Lavington,51,123,21,895,19,686,1787
Hay,0,24,13,145,4,108,293
Wentworth - Buronga,8,47,4,327,0,237,631
Wentworth-Balranald Region,0,41,14,194,3,139,392
Corowa,4,39,0,283,8,149,478
Corowa Region,10,36,6,388,5,182,635
Deniliquin,0,96,12,442,7,245,803
Deniliquin Region,6,57,19,340,5,188,613
Moama,0,76,27,395,0,143,640
Tocumwal - Finley - Jerilderie,5,88,16,522,9,322,955
Armidale,265,285,26,1197,22,981,2765
Armidale Region - North,12,37,5,265,3,166,484
Armidale Region - South,38,65,10,328,3,164,611
Walcha,5,25,14,146,0,119,307
Glen Innes,8,106,11,373,5,324,830
Inverell,15,124,18,653,10,483,1307
Inverell Region - East,3,36,9,229,3,232,510
Inverell Region - West,3,64,18,279,6,211,574
Tenterfield,7,50,13,270,7,253,596
Moree,10,120,29,527,7,420,1110
Moree Region,7,67,5,314,5,255,651
Narrabri,22,97,24,471,9,263,891
Narrabri Region,5,43,8,273,10,217,550
Gunnedah,14,102,24,640,6,370,1154
Gunnedah Region,0,32,4,231,0,148,421
Quirindi,5,82,19,352,9,336,812
Tamworth - East,29,316,31,1360,14,751,2513
Tamworth - North,30,318,26,1034,16,536,1969
Tamworth - West,14,47,11,361,5,336,763
Tamworth Region,20,300,19,1100,9,558,2005
Belmont - Bennetts Green,49,275,14,1112,6,502,1955
Belmont South - Blacksmiths,12,58,6,325,0,157,574
Charlestown - Dudley,118,486,38,1887,16,770,3322
Glendale - Cardiff - Hillsborough,111,433,31,1798,5,769,3154
Mount Hutton - Windale,23,102,3,496,6,432,1079
Redhead,14,49,5,185,4,83,332
Swansea - Caves Beach,33,140,9,607,7,305,1102
Valentine - Eleebana,36,199,17,703,7,242,1207
Warners Bay - Boolaroo,42,196,19,892,6,385,1534
Bolton Point - Teralba,11,81,5,480,10,342,929
Bonnells Bay - Silverwater,17,97,5,556,9,257,954
Edgeworth - Cameron Park,56,253,18,1348,15,516,2206
Morisset - Cooranbong,20,161,5,779,15,503,1486
Toronto - Awaba,27,155,9,752,11,442,1390
Wangi Wangi - Rathmines,16,121,10,552,8,242,946
